2025-09-11 09:04:38.503 | INFO     | utils.logger:setup_logger:57 - 日志系统初始化完成 - 级别: INFO
2025-09-11 09:04:38.503 | INFO     | __main__:main:277 - 启动咸鱼AI客服系统
2025-09-11 09:04:38.504 | INFO     | __main__:initialize:47 - 开始初始化咸鱼AI客服系统...
2025-09-11 09:04:38.504 | ERROR    | __main__:initialize:51 - 配置验证失败
2025-09-11 09:04:38.504 | INFO     | __main__:stop:228 - 正在停止咸鱼AI客服系统...
2025-09-11 09:04:38.504 | INFO     | __main__:stop:250 - 系统已停止
2025-09-15 09:34:29.174 | INFO     | utils.logger:setup_logger:57 - 日志系统初始化完成 - 级别: INFO
2025-09-15 09:34:29.174 | INFO     | __main__:main:277 - 启动咸鱼AI客服系统
2025-09-15 09:34:29.175 | INFO     | __main__:initialize:47 - 开始初始化咸鱼AI客服系统...
2025-09-15 09:34:29.175 | ERROR    | __main__:initialize:51 - 配置验证失败
2025-09-15 09:34:29.175 | INFO     | __main__:stop:228 - 正在停止咸鱼AI客服系统...
2025-09-15 09:34:29.175 | INFO     | __main__:stop:250 - 系统已停止
2025-09-15 09:38:57.985 | INFO     | utils.logger:setup_logger:57 - 日志系统初始化完成 - 级别: INFO
2025-09-15 09:38:57.985 | INFO     | __main__:main:277 - 启动咸鱼AI客服系统
2025-09-15 09:38:57.985 | INFO     | __main__:initialize:47 - 开始初始化咸鱼AI客服系统...
2025-09-15 09:38:57.985 | INFO     | __main__:_init_browser:75 - 初始化浏览器...
2025-09-15 09:39:00.226 | INFO     | browser.goofish_browser:start:95 - 浏览器已启动，咸鱼页面已加载
2025-09-15 09:39:00.228 | INFO     | __main__:_init_browser:85 - 请在浏览器中登录咸鱼账号...
2025-09-15 09:39:00.228 | INFO     | browser.goofish_browser:wait_for_login:107 - 等待用户登录...
2025-09-15 09:44:00.252 | ERROR    | browser.goofish_browser:wait_for_login:116 - 等待登录超时或失败: Page.wait_for_selector: Timeout 300000ms exceeded.
Call log:
waiting for locator(".message-list, .chat-container, .user-avatar") to be visible

2025-09-15 09:44:00.253 | ERROR    | __main__:initialize:70 - 初始化失败: 等待登录超时
2025-09-15 09:44:00.253 | INFO     | __main__:stop:228 - 正在停止咸鱼AI客服系统...
2025-09-15 09:44:00.256 | INFO     | browser.goofish_browser:close:515 - 已保存持久化数据
2025-09-15 09:44:00.489 | INFO     | browser.goofish_browser:close:524 - 浏览器已关闭
2025-09-15 09:44:00.489 | INFO     | __main__:stop:250 - 系统已停止
